artwork_citi_id,artwork_title,image_netx_id,image_netx_uuid,is_public_domain
874,Landscape,414646,3a34f988-f779-2e96-1786-8945b6b9c87d,1
58,"Portrait of a Sixty-year-old Woman, from Recueil d'estampes d'après les plus célèbres tableaux de la Galerie Royale de Dresde",314965,529f40db-cec2-b3a4-e955-432bb39372ba,1
60,"Pierre Dupuis, Painter to the King",314888,4943ebd3-26d1-e11e-e4a1-4ace853e5292,1
62,"Head of Executioner, from John Evelyn's Sculptura",295759,8317e653-b0eb-3ba3-1886-3141db56f529,1
46,"Portrait Bust of a Woman with a Large Collar, from Perfect School to Learn How to Draw the Entire Human Body (English translation)",292074,7e00ffbc-16a9-96b9-3da2-f38174cccb5f,1
16571,"Arrival of the Normandy Train, Gare Saint-Lazare",10552,0f1cc0e0-e42e-be16-3f71-2022da38cb93,1
47149,Mao,239624,97cb5c4b-cce5-c4d8-f303-613ce92832c7,
50,"Susanna Surprised by the Elders, from The Story of Susanna",132810,3d9240d5-513c-8d40-811a-5cc9fe722b30,1
10943,"Yacht Race",401713,549d921d-516b-ec59-2e30-3ca055f7b912,
129,"Articulated Dragon",10753,71189c5f-85e7-4d89-aa93-22651ec692bf,1
109439,"America Windows",402605,e5d11520-96cd-8b62-06a9-6d16ddf8affd,
67,"The Shower",290656,3edf7848-5a7a-ece0-8491-2173a7596e92,1
71,"Old Oaks at Bas Bréau",314344,1ce19018-a280-96de-7f63-6547f8de2395,1
201,"Dipper or Ladle with Interlocking Zigzag and Step-Fret Designs",414888,4bc31ff3-7ee1-5d15-aeca-b563e562afa5,1
4884,"Figure with Meat",380643,024d361d-31d1-e53b-cca0-ee14f822347f,
111436,"The Basket of Apples",259991,5b79b325-4fa5-0db9-2f3a-a99586400286,1
11143,"The Fear of Love",10116,70f69d6a-2cac-0e55-9913-7027ca19f5cb,1
4371,"Hamamatsu, from the series ""Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi),"" also known as the Tokaido with Poem (Kyoka iri Tokaido)",199396,cef4e5df-a749-090b-b897-7d5f40654685,1
863,"Pastoral Landscape with Ruins",366875,a34d9d72-c4ec-0750-389e-a01215c9aab0,1
151424,"Inventions of the Monsters",385274,643a6bb7-821e-3a2a-61d3-6d814682653b,
153,"The Lost Pleiade",365836,f9549068-ad7e-c9ce-6fed-5c7a429024fb,1
566,"Life Cast of the Hands and Face of Abraham Lincoln",221839,8ad03fff-be28-ab22-689c-8f022b5e181c,1
